,tweet,sentiment,tweet,location
47,"#Repost uncletone206 with make_repost
・・・
#mask #masks #coronavirus #corona #virus #businessowner #businesswoman #businessman #business #blacklivesmatter #blackouttuesday #blackfolkmagic… https://t.co/yAlacEdtps",0.45,"#Repost uncletone206 with make_repost
・・・
#mask #masks #coronavirus #corona #virus #businessowner #businesswoman #businessman #business #blacklivesmatter #blackouttuesday #blackfolkmagic… https://t.co/yAlacEdtps",Nevada
48,"Challenge #18 - streetsofsj Zoom Photo Challenge (lockdown edition) . Subject today:  Delfie(Deskspace/Workspace. Which is your favorite?

1.  Me
2. highqualitypropaganda
3. rjayrivera_ 
4. thegreatkingace
5.… https://t.co/kNWb1sU2N9",0.0,"Challenge #18 - streetsofsj Zoom Photo Challenge (lockdown edition) . Subject today:  Delfie(Deskspace/Workspace. Which is your favorite?

1.  Me
2. highqualitypropaganda
3. rjayrivera_ 
4. thegreatkingace
5.… https://t.co/kNWb1sU2N9",California
49,"Ding Dong the Witch is Dead! 🎉 ❤️🎉❤️🎉❤️🎉❤️🎉So the Pandemic has crushed us, so in honor of having to put my Historic Building on the Market and up for sale, and because I’m from Kansas, we painted the Wicked Witch of… https://t.co/fQpSqtCcPv",0.3333333333333334,"Ding Dong the Witch is Dead! 🎉 ❤️🎉❤️🎉❤️🎉❤️🎉So the Pandemic has crushed us, so in honor of having to put my Historic Building on the Market and up for sale, and because I’m from Kansas, we painted the Wicked Witch of… https://t.co/fQpSqtCcPv",California
50,Come out of the other side of the covid era knowing that you made the most of each and every moment you have right TF now. That means doing each &amp; everything you’ve put off because you were busy. For example:… https://t.co/Aniwz7UWhd,0.32916666666666666,Come out of the other side of the covid era knowing that you made the most of each and every moment you have right TF now. That means doing each &amp; everything you’ve put off because you were busy. For example:… https://t.co/Aniwz7UWhd,California
51,"Got in a commute this morning, the first one since the pandemic started in March. Felt good but definitely need to do it more! #commute #bikecommute #biketowork #biketrail #pedalmore #cycling #cyclist #riseandgrind… https://t.co/xYrVGSffyf",0.19017857142857145,"Got in a commute this morning, the first one since the pandemic started in March. Felt good but definitely need to do it more! #commute #bikecommute #biketowork #biketrail #pedalmore #cycling #cyclist #riseandgrind… https://t.co/xYrVGSffyf",California
52,This is #travel during #covid19 on americanair. #travelphotography #travelgram #frequentflyer #blessup #humble #work #grind @ DFW Airport https://t.co/6LToYaJuYL,0.06727272727272728,This is #travel during #covid19 on americanair. #travelphotography #travelgram #frequentflyer #blessup #humble #work #grind @ DFW Airport https://t.co/6LToYaJuYL,Texas
53,"A man rides past a mural in an alley at the Strand in Hermosa Beach on Wednesday, July 8, 2020. (Photo by Keith Birmingham, Pasadena Star-News/ SCNG) #coronavirus #covid-19 #pandemic #beach #water #photography… https://t.co/qVBL3FTR7a",-0.2,"A man rides past a mural in an alley at the Strand in Hermosa Beach on Wednesday, July 8, 2020. (Photo by Keith Birmingham, Pasadena Star-News/ SCNG) #coronavirus #covid-19 #pandemic #beach #water #photography… https://t.co/qVBL3FTR7a",California
54,"People enjoy a day at the beach in Hermosa Beach on Wednesday, July 8, 2020. (Photo by Keith Birmingham, Pasadena Star-News/ SCNG) #coronavirus #covid19 #pandemic nikonusa @lcphoto13 #nikonlove #nikon #photography… https://t.co/I0xqZleN2f",-0.1,"People enjoy a day at the beach in Hermosa Beach on Wednesday, July 8, 2020. (Photo by Keith Birmingham, Pasadena Star-News/ SCNG) #coronavirus #covid19 #pandemic nikonusa @lcphoto13 #nikonlove #nikon #photography… https://t.co/I0xqZleN2f",California
55,If you gotta pandemic might as well pandemic by the water @ Outrigger Waikiki Beach Resort https://t.co/FHAQdxrMWl,0.22424242424242427,If you gotta pandemic might as well pandemic by the water @ Outrigger Waikiki Beach Resort https://t.co/FHAQdxrMWl,Hawaii
56,"We're hiring! Read about our latest job opening here: COVID-19 Screener - Construction Site - https://t.co/dBhf8TecTz #TheDalles, OR #Healthcare",0.4,"We're hiring! Read about our latest job opening here: COVID-19 Screener - Construction Site - https://t.co/dBhf8TecTz #TheDalles, OR #Healthcare",Oregon
57,"Birds fly past fisherman along the Pier at the Strand in Hermosa Beach on Wednesday, July 8, 2020. (Photo by Keith Birmingham, Pasadena Star-News/ SCNG) #coronavirus #covid19 #pandemic nikonusa @lcphoto13 #nikonlove… https://t.co/pCeSROd5Ne",0.0,"Birds fly past fisherman along the Pier at the Strand in Hermosa Beach on Wednesday, July 8, 2020. (Photo by Keith Birmingham, Pasadena Star-News/ SCNG) #coronavirus #covid19 #pandemic nikonusa @lcphoto13 #nikonlove… https://t.co/pCeSROd5Ne",California
58,Still working on pandemic transformation #haircolor #haircut #hairstyles #ombre #bayalage #babylights #colorwow #olaplex #tigicopyright_texas #hairtransformation #hairinspo #hairoftheday #allentexas #allenmoms… https://t.co/FodL1i2YfZ,0.34500000000000003,Still working on pandemic transformation #haircolor #haircut #hairstyles #ombre #bayalage #babylights #colorwow #olaplex #tigicopyright_texas #hairtransformation #hairinspo #hairoftheday #allentexas #allenmoms… https://t.co/FodL1i2YfZ,Texas
59,Still working on recovering pandemic hair #haircolor #haircut #hairstyles #ombre #bayalage #babylights #brazilianblowout #smoothhair #silkyhair #wavyhair #colorwow #olaplex #tigicopyright_texas #hairtransformation… https://t.co/4XL4tthR2Q,0.25,Still working on recovering pandemic hair #haircolor #haircut #hairstyles #ombre #bayalage #babylights #brazilianblowout #smoothhair #silkyhair #wavyhair #colorwow #olaplex #tigicopyright_texas #hairtransformation… https://t.co/4XL4tthR2Q,Texas
60,"USGS reports a M1.44 earthquake, 11km S of Corona, CA on 7/9/20 @ 5:49:40 UTC https://t.co/S3RlkdDYbH #earthquake",0.0,"USGS reports a M1.44 earthquake, 11km S of Corona, CA on 7/9/20 @ 5:49:40 UTC https://t.co/S3RlkdDYbH #earthquake",California
61,"A 1.4 magnitude earthquake occurred 6.84mi S of Corona, CA. Details: https://t.co/xLdkbwhDXj Map: https://t.co/RVioF9c577",0.0,"A 1.4 magnitude earthquake occurred 6.84mi S of Corona, CA. Details: https://t.co/xLdkbwhDXj Map: https://t.co/RVioF9c577",California
62,"Napoli is located in the Montrose Heights area, they have just started a live music program and as with everyone are trying to navigate through this pandemic. We will be playing outdoors on the patio, beautiful… https://t.co/cePZX7GSr3",0.0,"Napoli is located in the Montrose Heights area, they have just started a live music program and as with everyone are trying to navigate through this pandemic. We will be playing outdoors on the patio, beautiful… https://t.co/cePZX7GSr3",Texas
63,How to Fix the COVID-19 Crisis in 30 Days https://t.co/MWW5cYzLs9 https://t.co/WbU7JOgVRL,0.25,How to Fix the COVID-19 Crisis in 30 Days https://t.co/MWW5cYzLs9 https://t.co/WbU7JOgVRL,California
64,"Thursday Morning Motivation: Make time for fun‼️Follow Me at https://t.co/EGBzuCCmOO 
#MillionDollarMovement 😎🤔🤓★★★ Serious Inquiries Only‼️I'm a stay at home dad and I've been working from home for 8… https://t.co/ZHuzj6V4Gt",0.3636363636363637,"Thursday Morning Motivation: Make time for fun‼️Follow Me at https://t.co/EGBzuCCmOO 
#MillionDollarMovement 😎🤔🤓★★★ Serious Inquiries Only‼️I'm a stay at home dad and I've been working from home for 8… https://t.co/ZHuzj6V4Gt",New York
65,"2020 day 190 - summer
.
.
.
.
.
#summer #summervibes #summertime #summer2020 #seagull #lifeguard #lifeguardtower #goldenhour #silhouette #socialdistancing #venicebeach #losangeles #california #dankmedia #dankvenice… https://t.co/csmdwaapAf",0.15000000000000002,"2020 day 190 - summer
.
.
.
.
.
#summer #summervibes #summertime #summer2020 #seagull #lifeguard #lifeguardtower #goldenhour #silhouette #socialdistancing #venicebeach #losangeles #california #dankmedia #dankvenice… https://t.co/csmdwaapAf",California
66,"COVID-19 update @ Queens, New York https://t.co/0MrXNvuXj8",-0.3333333333333333,"COVID-19 update @ Queens, New York https://t.co/0MrXNvuXj8",New York
67,"Check out my new rap song COVID19 on SPOTIFY  ,AMAZON MUSIC and APPLE MUSIC. 
#bestposts #hiphopmusic #COVID19 #coronavirus @ Asbury Park, New Jersey https://t.co/2iRKeyJHGn",0.045833333333333316,"Check out my new rap song COVID19 on SPOTIFY  ,AMAZON MUSIC and APPLE MUSIC. 
#bestposts #hiphopmusic #COVID19 #coronavirus @ Asbury Park, New Jersey https://t.co/2iRKeyJHGn",New Jersey
68,"Awww shucks now .. they still can't kill him .. well Covid pushed him to Halloween 2021 #MikeMyers halloweenmovie #HalloweenKills @ Tampa, Florida https://t.co/ZEIvRfsDAb",0.2681818181818182,"Awww shucks now .. they still can't kill him .. well Covid pushed him to Halloween 2021 #MikeMyers halloweenmovie #HalloweenKills @ Tampa, Florida https://t.co/ZEIvRfsDAb",Florida
69,#red #handmade #guitar #star #singing #coronavirus #blue #live #instagood #color #oseiovid #dakariprocyonovidinspired #abstractart #ART #artistworksyoushouldcollect #musician #mask #goodvibes @ Planet Earth https://t.co/Vw17SK2fI5,0.0,#red #handmade #guitar #star #singing #coronavirus #blue #live #instagood #color #oseiovid #dakariprocyonovidinspired #abstractart #ART #artistworksyoushouldcollect #musician #mask #goodvibes @ Planet Earth https://t.co/Vw17SK2fI5,Texas
70,"#covid19 #coronavirus @ Houston, Texas https://t.co/SiQkZIcEec",0.4,"#covid19 #coronavirus @ Houston, Texas https://t.co/SiQkZIcEec",Texas
